1245425308704149506	WEAK
1160838491900645376	WEAK
1241084724283670529	WEAK
1241069755852886016	STRONG
1242455932124233730	STRONG
1237425754121678849	STRONG
1239659606370144257	WEAK
1245091387520864256	
1244701531385053188	WEAK
1242717326895710208	
1241447942424231944	STRONG
1160645562288562179	STRONG
1244161501532954624	STRONG
1241902398324473856	STRONG
1160920348365348866	STRONG
1242938255286456320	WEAK
1245761750625992704	
1220039304279445504	WEAK
1241402455843393537	STRONG
1157685780816572417	WEAK
1243583099998539778	WEAK
1236766297213612032	STRONG
1242910238304546819	STRONG
1231950920428269568	STRONG
1243461496522375168	WEAK
1160654497238196231	STRONG
1238195445299589120	WEAK
1160173682746122240	
1160978626319458304	STRONG
1242217722878066690	STRONG
1216844726000746497	STRONG
1243326982357729280	
1240628531530473473	WEAK
1245083998822465537	
1240009239894114306	
1245100663945793539	
1239398103914078210	STRONG
1242978479559151616	WEAK
1240695766848430081	WEAK
1158172286186393601	STRONG
1148448736474873856	STRONG
1238883361185247235	
1234856186509438976	WEAK
1242540509572354048	
1237477259373678593	STRONG
1241360199077814272	STRONG
1240351732191744001	WEAK
1143405490052960257	WEAK
1239608954004688897	STRONG
1242955909707583490	WEAK
1148641505025937408	STRONG
1237859167039180801	WEAK
1244429944580722699	STRONG
1244653736284131329	STRONG
1222941286589702144	WEAK
1243002674083225601	
1233197774889463814	
1242172548911112195	WEAK
1219706822275280897	STRONG
1244621365589704705	WEAK
1245421920427937793	WEAK
1238206235054354436	WEAK
1209432257716531202	WEAK
1157994594807754752	WEAK
1232963537053585411	
1243069674033762304	WEAK
1244746916224696320	STRONG
1244126764911284225	STRONG
1151655791159418880	WEAK
1239209006457147393	
1242571823381970945	STRONG
1158060485289185285	WEAK
1243344912684331008	WEAK
1244870629729488897	WEAK
993641458061271040	STRONG
1235026039924875265	STRONG
1244360301925072896	WEAK
1222250950531997696	WEAK
1237027954934386690	WEAK
1218132054363312128	WEAK
1239455437679968256	STRONG
1230644978029867010	WEAK
1241509756289929224	WEAK
1242687614232211456	
1154369477183725568	WEAK
1244771465993609223	WEAK
1239352602694991872	STRONG
1224623067130925056	WEAK
1229934961437921280	WEAK
1243602328525160451	STRONG
1240827786950049792	
1229214364735070208	STRONG
1243334983621775361	WEAK
1240212963757158400	STRONG
1225854705332629504	WEAK
1242199153771532289	WEAK
1159073841848733697	WEAK
1240282444554743809	WEAK
1238929068013375491	WEAK
1140756621632647169	WEAK
1242717560317018112	
1242193246270472192	STRONG
1231399253748125696	STRONG
1245176032069668869	STRONG
1240663049243176960	WEAK
1240722839826829320	STRONG
1242533571048456193	STRONG
1232815420408836098	
1159387540924903424	WEAK
