629797991826722816	gpt	-2	-1	-1
630159517058142208	gpt	1	1	0
630542330827771904	gpt	-2	-1	-1
630636736746422272	gpt	-2	-1	-2
630807124872970240	gpt	1	0	0
631104156187627520	gpt	-2	-1	-2
623289728708792320	gpt	-2	-1	-2
626714507797094401	gpt	-2	-1	-2
628949369883000832	gpt	-1	-1	-1
628976607420645377	gpt	-2	-2	-2
629186282179153920	gpt	0	0	0
629226490152914944	gpt	1	1	1
629268678844887044	gpt	-2	-1	-2
629345637155360768	gpt	-2	-2	-2
629394528336637953	gpt	-2	-2	-2
629650766580609026	gpt	1	1	1
631543121407442946	gpt	-2	-1	-2
631792365590695936	gpt	-2	-1	-1
632078210960916480	gpt	-1	-1	0
632374683334258688	gpt	-1	-1	-1
632411635626348544	gpt	0	0	0
632805868334153728	gpt	-2	-1	-1
632983468188696576	gpt	-1	-1	-1
633041928922132480	gpt	-2	-2	-2
633119630417129476	gpt	-2	-1	-1
633500866096574464	gpt	-2	-2	-1
633594289029808128	gpt	-2	-1	-2
634036617632546816	gpt	-2	-2	-2
634364883040006144	gpt	-1	-1	-1
634657299680858113	gpt	-2	-1	-2
634921865916452864	gpt	-1	-1	-1
634926683284336640	gpt	-1	-1	-2
635291912727953408	gpt	-2	-1	-2
635528136743092224	gpt	-1	-1	-1
635655006088249344	gpt	0	0	0
635795783099387904	gpt	2	1	1
635937822344507392	gpt	-1	-1	-1
636250751191355393	gpt	0	0	0
636628270172274688	gpt	-2	-1	-1
636842896524726273	gpt	-2	-2	-2
636861074256592896	gpt	-2	-2	-2
636978321222467584	gpt	-2	-2	-2
637430521191079936	gpt	-1	-1	-1
637807521500020737	gpt	-2	-2	-2
637968542915276800	gpt	0	0	0
638219008542535680	gpt	-2	-1	-2
638427398694830080	gpt	-1	-1	-1
638497802344091648	gpt	1	1	1
638802315533766660	gpt	0	0	0
639102028296376320	gpt	-1	-1	-1
639160139820498944	gpt	1	1	1
639352599288877056	gpt	0	0	0
639451183342596096	gpt	-2	-1	-2
639595547490430976	gpt	0	0	0
639703605705113600	gpt	-1	-1	-1
639716079430967296	gpt	-2	-1	-1
639806669392777218	gpt	0	0	0
639935724033339393	gpt	1	1	1
640006224944230400	gpt	0	-1	-1
640014309930758144	gpt	-2	-2	-1
640345491503378433	gpt	0	0	-1
640668469315403776	gpt	-2	-1	-1
640698550951747584	gpt	-1	-1	-1
640736865499217920	gpt	-2	-2	-2
640740939397492736	gpt	1	0	0
640871644844572672	gpt	-2	-1	-2
640894133465411585	gpt	-2	-1	-2
641093453372260352	gpt	-2	-1	-2
641203973559418880	gpt	-2	-2	-2
641238513304866817	gpt	-2	-1	-2
641295194583797765	gpt	0	0	0
641372287694823424	gpt	0	0	0
641382034678661120	gpt	-1	-1	-1
641399343824572416	gpt	-2	-2	-2
641404603376996352	gpt	-2	-2	-1
641419291657506816	gpt	0	0	0
641437601048752128	gpt	-2	-1	-2
641483505348804608	gpt	-2	-1	-2
641510138235367424	gpt	-1	-1	-1
641538169079369728	gpt	0	0	0
