629797991826722816	gemma	-2	-2	-2
630159517058142208	gemma	1	1	0
630542330827771904	gemma	-1	-1	-2
630636736746422272	gemma	-2	-2	-2
630807124872970240	gemma	1	0	1
631104156187627520	gemma	-2	-1	-2
623289728708792320	gemma	-2	-1	-2
626714507797094401	gemma	-2	-2	-2
628949369883000832	gemma	-1	-1	-1
628976607420645377	gemma	-2	-2	-2
629186282179153920	gemma	0	0	0
629226490152914944	gemma	1	1	1
629268678844887044	gemma	-2	-2	-2
629345637155360768	gemma	-2	-2	-2
629394528336637953	gemma	-2	-2	-2
629650766580609026	gemma	1	1	1
631543121407442946	gemma	-2	-2	-2
631792365590695936	gemma	-2	-1	-2
632078210960916480	gemma	0	-1	0
632374683334258688	gemma	0	0	-1
632411635626348544	gemma	0	0	0
632805868334153728	gemma	-1	-1	-2
632983468188696576	gemma	-1	-1	-1
633041928922132480	gemma	-2	-2	-2
633119630417129476	gemma	-1	-1	-2
633500866096574464	gemma	-2	-2	-2
633594289029808128	gemma	-2	-1	-2
634036617632546816	gemma	-2	-2	-2
634364883040006144	gemma	0	0	0
634657299680858113	gemma	-2	-2	-2
634921865916452864	gemma	-2	-1	-2
634926683284336640	gemma	-1	-1	-2
635291912727953408	gemma	-2	-1	-2
635528136743092224	gemma	-2	-1	-2
635655006088249344	gemma	-1	1	0
635795783099387904	gemma	2	2	-1
635937822344507392	gemma	-1	0	-1
636250751191355393	gemma	0	0	0
636628270172274688	gemma	-2	-1	-2
636842896524726273	gemma	-2	-2	-2
636861074256592896	gemma	-2	-2	-2
636978321222467584	gemma	-2	-2	-2
637430521191079936	gemma	-1	-1	-1
637807521500020737	gemma	-2	-2	-2
637968542915276800	gemma	0	0	-1
638219008542535680	gemma	-2	-1	-2
638427398694830080	gemma	-2	-1	-1
638497802344091648	gemma	1	2	1
638802315533766660	gemma	0	0	0
639102028296376320	gemma	-1	-1	-1
639160139820498944	gemma	1	1	1
639352599288877056	gemma	0	0	-1
639451183342596096	gemma	-2	-2	-2
639595547490430976	gemma	0	0	0
639703605705113600	gemma	-2	-1	-1
639716079430967296	gemma	-1	-1	-2
639806669392777218	gemma	0	0	0
639935724033339393	gemma	2	1	0
640006224944230400	gemma	0	-1	0
640014309930758144	gemma	-2	-1	-2
640345491503378433	gemma	0	0	-2
640668469315403776	gemma	-2	-1	-2
640698550951747584	gemma	0	-1	-1
640736865499217920	gemma	-2	-2	-2
640740939397492736	gemma	1	0	1
640871644844572672	gemma	-2	-1	-2
640894133465411585	gemma	-1	-1	-2
641093453372260352	gemma	-1	-1	-2
641203973559418880	gemma	-2	-2	-2
641238513304866817	gemma	-2	-2	-2
641295194583797765	gemma	0	0	0
641372287694823424	gemma	0	0	-1
641382034678661120	gemma	-1	-1	-1
641399343824572416	gemma	-2	-2	-2
641404603376996352	gemma	-2	-2	-2
641419291657506816	gemma	0	0	0
641437601048752128	gemma	-2	-2	-2
641483505348804608	gemma	-2	-2	-2
641510138235367424	gemma	-1	-1	-1
641538169079369728	gemma	0	0	0
